worker_id,loss,class,skipped
2,10.017162322998047,8,False
1,10.609161376953125,6,False
0,10.68189525604248,0,False
3,8.943061828613281,1,False
2,10.358108520507812,7,False
1,11.574533462524414,4,False
1,10.350990295410156,4,False
2,10.869234085083008,6,False
0,10.638813972473145,3,False
3,9.85392951965332,4,False
2,9.593164443969727,4,False
0,9.023971557617188,6,False
1,9.171194076538086,3,False
3,11.994175910949707,6,False
0,9.370104789733887,0,False
2,7.4369001388549805,9,False
3,8.506412506103516,0,False
1,7.291067600250244,1,False
3,9.361917495727539,5,False
2,13.771463394165039,1,False
1,7.900763511657715,1,False
0,7.335981369018555,1,False
3,8.782522201538086,5,False
2,9.112381935119629,4,False
1,6.8565168380737305,2,False
0,9.678495407104492,1,False
2,9.188352584838867,4,False
1,9.251176834106445,1,False
3,6.359028339385986,8,False
0,11.388057708740234,2,False
0,10.034860610961914,6,False
3,7.997668266296387,9,False
2,10.81483268737793,0,False
1,8.18702507019043,8,False
2,9.633310317993164,1,False
0,12.313516616821289,2,False
1,6.764097690582275,4,False
3,9.90313720703125,8,False
1,13.938041687011719,2,False
3,12.410551071166992,5,False
2,10.73592472076416,9,False
0,10.354405403137207,1,False
2,5.912977695465088,9,False
1,12.55125617980957,6,False
0,8.45865249633789,1,False
3,10.201277732849121,4,False
2,9.385717391967773,7,False
3,7.427599906921387,1,False
1,12.732011795043945,2,False
0,10.083157539367676,5,False
3,8.987293243408203,0,False
0,10.747401237487793,0,False
2,9.351932525634766,5,False
1,6.323750972747803,9,False
0,12.30042839050293,6,False
2,11.30226993560791,2,False
1,9.011518478393555,6,False
3,11.547538757324219,3,False
0,9.365141868591309,4,False
2,8.396286010742188,9,False
1,8.462928771972656,9,False
3,8.885225296020508,9,False
2,11.101338386535645,3,False
1,8.559694290161133,5,False
3,9.365236282348633,1,False
0,10.504990577697754,3,False
2,11.384876251220703,2,False
0,6.459412574768066,6,False
3,13.99598503112793,0,False
1,10.83616828918457,5,False
1,9.199217796325684,1,False
0,10.976552963256836,2,False
2,10.044832229614258,1,False
3,10.008279800415039,5,False
3,9.456022262573242,3,False
0,10.07872200012207,5,False
2,8.265966415405273,5,False
1,13.967241287231445,2,False
0,9.2998046875,5,False
3,10.941812515258789,2,False
2,8.140989303588867,0,False
1,8.49681282043457,9,False
0,10.365610122680664,5,False
2,7.992188453674316,5,False
1,9.578324317932129,4,False
3,10.398575782775879,3,False
2,11.382230758666992,1,False
3,11.818401336669922,3,False
1,6.931182384490967,1,False
0,7.99855899810791,4,False
3,8.275081634521484,8,False
2,11.803506851196289,6,False
1,11.457267761230469,2,False
0,10.00566577911377,5,False
0,8.31810474395752,3,False
3,10.53109073638916,5,False
1,9.489736557006836,7,False
2,9.000316619873047,8,False
2,9.978750228881836,3,False
3,6.95317268371582,1,False
0,9.158552169799805,8,False
1,10.070064544677734,6,False
3,7.417235374450684,1,False
0,10.978338241577148,3,False
2,13.821048736572266,3,False
1,10.584480285644531,5,False
3,14.317636489868164,3,False
2,8.7383394241333,4,False
0,12.213760375976562,6,False
1,9.26077651977539,1,False
0,8.783379554748535,7,False
2,9.193177223205566,4,False
1,8.37464714050293,1,False
3,9.323639869689941,2,False
3,10.666852951049805,6,False
1,12.708478927612305,0,False
0,12.317444801330566,0,False
2,8.228219985961914,6,False
3,9.89652156829834,3,False
1,12.079432487487793,8,False
2,8.454291343688965,1,False
0,12.47803783416748,4,False
0,11.306011199951172,9,False
1,9.302539825439453,0,False
2,7.264261722564697,1,False
3,9.045549392700195,4,False
3,8.154970169067383,1,False
0,9.512452125549316,9,False
2,11.446722984313965,0,False
1,7.258131980895996,1,False
2,11.25410270690918,6,False
0,10.807090759277344,0,False
1,9.619546890258789,8,False
3,7.139764785766602,1,False
3,7.682956695556641,9,False
1,13.778191566467285,3,False
2,7.502096176147461,1,False
0,8.044663429260254,5,False
0,7.565223217010498,4,False
1,11.325008392333984,8,False
2,9.547414779663086,4,False
3,12.204612731933594,0,False
3,8.787558555603027,5,False
2,11.667463302612305,2,False
0,9.440836906433105,7,False
1,7.960259914398193,4,False
1,13.519936561584473,3,False
3,8.747166633605957,8,False
0,7.767625331878662,1,False
2,12.55980110168457,1,False
2,11.966370582580566,5,False
3,10.889229774475098,0,False
1,11.721824645996094,3,False
0,11.246725082397461,0,False
3,10.001649856567383,5,False
0,11.347993850708008,3,False
2,10.47584056854248,8,False
1,9.317278861999512,3,False
2,8.334400177001953,0,False
1,10.330425262451172,3,False
3,12.284557342529297,1,False
0,6.93553352355957,1,False
0,12.499414443969727,8,False
2,8.60772705078125,7,False
1,6.581630706787109,4,False
3,5.813055515289307,8,False
1,7.381999492645264,7,False
0,8.481409072875977,5,False
2,11.904105186462402,6,False
3,8.36098575592041,9,False
2,10.030078887939453,6,False
1,10.07460880279541,4,False
3,7.9076128005981445,6,False
0,8.18967056274414,7,False
3,10.060983657836914,7,False
2,8.936238288879395,7,False
0,9.199431419372559,3,False
1,9.162967681884766,0,False
3,14.331880569458008,2,False
0,9.880600929260254,3,False
1,11.68484878540039,2,False
2,10.737759590148926,2,False
1,10.220175743103027,3,False
2,8.811555862426758,8,False
3,7.606161594390869,4,False
0,8.247824668884277,0,False
2,9.483232498168945,7,False
1,10.185341835021973,0,False
0,7.7701263427734375,4,False
3,7.726648330688477,1,False
0,10.49184799194336,4,False
