gen	idx	N	D	K_hh	K_iter	alpha_ahebb	alpha_reflect	routing_mode	polarizer_alpha	accuracy	fitness	flops_M	params	best_epoch	elapsed_s	error
1	35	2048	16	3	5	0.0	0.5	delta_proj	1.5	0.956943	1.004790	1.475	67744	20	57.6	
1	36	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.944713	1.039185	0.983	67744	20	55.1	
1	37	2048	16	2	5	1.0	0.5	standard	0.0	0.914904	1.006395	0.983	67744	16	38.4	
1	38	2048	16	2	5	1.0	0.5	standard	0.0	0.916178	1.007796	0.983	67744	16	38.5	
1	39	2048	16	2	6	1.0	0.5	standard	1.5	0.914650	0.960382	1.180	67744	19	42.7	
1	40	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.953376	1.048713	0.983	67744	19	52.0	
1	41	1024	16	2	5	1.0	0.5	standard	1.5	0.847643	0.932408	0.492	33952	20	24.4	
1	42	2048	16	2	5	0.0	0.0	standard	0.0	0.161274	0.177401	0.983	67744	20	76.9	
1	43	2048	16	2	5	1.0	0.5	standard	0.5	0.918471	1.010318	0.983	67744	19	38.5	
1	44	2048	16	3	5	0.0	0.5	wpos_proj	1.5	0.930191	0.976701	1.475	67744	17	62.2	
1	45	4096	16	2	8	1.0	0.3	standard	1.0	0.939363	0.939363	3.146	135328	20	91.0	
1	46	4096	16	2	8	0.0	0.3	wpos_proj	0.0	0.189045	0.189045	3.146	135328	18	129.0	
1	47	4096	16	2	5	1.0	0.5	wpos_proj	0.5	0.948535	0.995962	1.966	135328	20	99.0	
1	48	2048	16	2	4	0.5	0.5	standard	0.0	0.678471	0.746318	0.786	67744	20	34.6	
1	49	2048	16	2	4	1.0	0.5	wpos_proj	0.0	0.896815	0.986497	0.786	67744	19	47.7	
2	0	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.958217	1.054038	0.983	67744	18	47.8	
2	1	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.958981	1.054879	0.983	67744	19	47.8	
2	2	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.946242	1.040866	0.983	67744	14	52.0	
2	3	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.946242	1.040866	0.983	67744	20	55.2	
2	4	2048	16	2	5	1.0	0.5	delta_proj	1.0	0.945987	1.040586	0.983	67744	16	52.0	
2	5	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.943694	1.038064	0.983	67744	20	55.3	
2	6	2048	16	2	5	1.0	0.5	wpos_proj	0.5	0.927898	1.020688	0.983	67744	20	55.1	
2	7	2048	16	2	5	1.0	0.5	standard	0.0	0.909299	1.000229	0.983	67744	18	38.7	
2	8	2048	16	2	5	1.0	0.5	wpos_proj	0.5	0.926369	1.019006	0.983	67744	19	55.2	
2	9	2048	16	2	5	1.0	0.3	standard	0.0	0.908026	0.998828	0.983	67744	16	38.6	
